city,state,country,lat,long
London,,UK,51.5074456,-0.1277653
Princeton,NJ,USA,40.3496953,-74.6597376
Amsterdam,,Netherlands,52.3730796,4.8924534
London,,UK,51.5074456,-0.1277653
Portland,Oregon,USA,45.5202471,-122.674194
Davis,California,USA,38.5435526,-121.739005
Marburg,Hesse,Germany,50.8090106,8.7704695
Munich,Bavaria,Germany,48.1371079,11.5753822
Aachen ,North Rhine-Westphalia,Germany,50.776351,6.083862
Redruth,Cornwall,UK,50.233989,-5.2276468
Muscat,,Oman,23.6123628,58.5938134
Jakarta,,Indonesia,-6.1754049,106.827168
Mexico City,,Mexico,19.4326296,-99.1331785
Bishkek,,Kyrgyzstan,42.8761424,74.6036724
